scenario,count,rx_seq,rssi_dbm,rate,sig_mode,mcs,cwb,ant,noise_floor_dbm,channel,timestamp_us,len_bytes
idle,0,16,-80,11,0,0,0,0,-97,1,27362737,128
idle,1,16,-79,11,0,0,0,0,-97,1,27455791,128
idle,2,16,-79,11,0,0,0,0,-97,1,27586020,128
idle,3,16,-85,11,0,0,0,0,-97,1,27698236,128
idle,4,16,-80,11,0,0,0,0,-97,1,27829979,128
idle,5,3248,-80,11,0,0,0,0,-97,1,27957293,128
idle,6,3248,-81,11,0,0,0,0,-97,1,28088785,128
idle,7,3248,-80,11,0,0,0,0,-97,1,28199537,128
idle,8,3248,-81,11,0,0,0,0,-97,1,28331057,128
idle,9,3529,-80,11,0,0,0,0,-97,1,35183312,128
idle,10,3529,-79,11,0,0,0,0,-97,1,35313900,128
idle,11,3768,-81,11,0,0,0,0,-97,1,37194668,128
idle,12,3768,-81,11,0,0,0,0,-97,1,37326402,128
ping-router,0,1237,-84,11,0,0,0,0,-97,1,25889595,128
ping-router,1,1424,-78,11,0,0,0,0,-97,1,29137022,128
ping-router,2,1424,-79,11,0,0,0,0,-97,1,29267466,128
ping-router,3,1737,-79,11,0,0,0,0,-97,1,35478810,128
ping-router,4,1817,-82,11,0,0,0,0,-97,1,37184891,128
ping-router,5,1817,-82,11,0,0,0,0,-97,1,37316378,128
ping-router,6,2199,-79,11,0,0,0,0,-97,1,41016118,128
ping-esp32,0,10,-85,11,0,0,0,0,-96,1,25827143,128
ping-esp32,1,2994,-80,11,0,0,0,0,-96,1,27296992,128
ping-esp32,2,12,-84,11,0,0,0,0,-96,1,27459413,128
ping-esp32,3,3031,-84,11,0,0,0,0,-96,1,28339379,128
ping-esp32,4,3031,-79,11,0,0,0,0,-96,1,28469845,128
ping-esp32,5,3031,-79,11,0,0,0,0,-96,1,28586041,128
ping-esp32,6,14,-83,11,0,0,0,0,-96,1,28667200,128
ping-esp32,7,15,-84,10,0,0,0,0,-96,1,28667467,128
ping-esp32,8,4,-79,11,0,0,0,0,-96,1,28897335,128
ping-esp32,9,3073,-84,11,0,0,0,0,-96,1,29110718,128
ping-esp32,10,3073,-84,10,0,0,0,0,-96,1,29191940,128
ping-esp32,11,3073,-80,11,0,0,0,0,-96,1,29332623,128
ping-esp32,12,3073,-80,11,0,0,0,0,-96,1,29441057,128
ping-esp32,13,3073,-85,11,0,0,0,0,-96,1,29523584,128
ping-esp32,14,3073,-79,11,0,0,0,0,-97,1,29662884,128
ping-esp32,15,3115,-78,11,0,0,0,0,-97,1,29783746,128
ping-esp32,16,3115,-84,10,0,0,0,0,-97,1,29864852,128
ping-esp32,17,3115,-78,11,0,0,0,0,-97,1,30005477,128
ping-esp32,18,3115,-78,11,0,0,0,0,-97,1,30114994,128
ping-esp32,19,3115,-83,11,0,0,0,0,-97,1,30197464,128
ping-esp32,20,3115,-78,11,0,0,0,0,-97,1,30336784,128
ping-esp32,21,3115,-78,11,0,0,0,0,-97,1,30446361,128
ping-esp32,22,3115,-84,10,0,0,0,0,-97,1,30527388,128
ping-esp32,23,3115,-79,11,0,0,0,0,-97,1,30668075,128
ping-esp32,24,3115,-79,11,0,0,0,0,-97,1,30777913,128
ping-esp32,25,3115,-85,11,0,0,0,0,-97,1,30860273,128
ping-esp32,26,3115,-79,11,0,0,0,0,-97,1,30999656,128
ping-esp32,27,3115,-79,11,0,0,0,0,-97,1,31212002,128
ping-esp32,28,3115,-83,10,0,0,0,0,-97,1,31293138,128
ping-esp32,29,3115,-83,11,0,0,0,0,-97,1,31433104,128
ping-esp32,30,3115,-79,11,0,0,0,0,-97,1,32133468,128
ping-esp32,31,3115,-83,10,0,0,0,0,-97,1,32220731,128
ping-esp32,32,3115,-78,11,0,0,0,0,-97,1,32354137,128
ping-esp32,33,3241,-84,11,0,0,0,0,-97,1,32959040,128
ping-esp32,34,3241,-83,10,0,0,0,0,-97,1,33040097,128
ping-esp32,35,3241,-79,11,0,0,0,0,-97,1,33180756,128
ping-esp32,36,3241,-78,11,0,0,0,0,-97,1,33392772,128
ping-esp32,37,3241,-82,10,0,0,0,0,-97,1,33473886,128
ping-esp32,38,3241,-78,11,0,0,0,0,-97,1,33614610,128
ping-esp32,39,3241,-78,11,0,0,0,0,-97,1,33713579,128
ping-esp32,40,3241,-79,11,0,0,0,0,-97,1,33844323,128
download,0,3,-87,11,1,0,0,0,-97,1,39720032,384
download,1,4,-86,11,1,1,0,0,-97,1,39745412,384
